timestamp,session_id,last_lap,current_lap,sector1_time,sector2_time,sector3_time,delta_front,lap_distance,car_pos,current_sector
314.398,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.413,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.427,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.442,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.458,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.473,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.489,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.505,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.520,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.536,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.552,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.568,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.584,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.600,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.616,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.632,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.648,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.664,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.696,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.712,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.728,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.744,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.759,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.775,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.791,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.806,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.822,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.837,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.853,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.868,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.884,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.900,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.916,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.933,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.949,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.965,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.981,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.997,13859826608897719907,0,0,0,0,0,0,0.000,0,0
315.029,13859826608897719907,0,0,0,0,0,0,0.000,0,0
315.045,13859826608897719907,0,0,0,0,0,0,0.000,0,0
315.061,13859826608897719907,0,0,0,0,0,0,0.000,0,0
315.077,13859826608897719907,0,0,0,0,0,0,0.000,0,0
421.917,13859826608897719907,0,0,0,0,0,0,0.000,0,0
421.939,13859826608897719907,0,0,0,0,0,0,0.000,0,0
421.961,13859826608897719907,0,0,0,0,0,0,0.000,0,0
421.983,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.004,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.025,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.046,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.068,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.089,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.110,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.131,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.153,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.174,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.195,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.216,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.237,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.258,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.279,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.301,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.322,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.343,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.364,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.386,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.407,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.428,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.450,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.471,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.492,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.513,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.534,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.555,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.576,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.597,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.619,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.640,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.661,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.682,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.704,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.725,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.746,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.767,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.788,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.809,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.830,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.852,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.873,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.894,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.915,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.936,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.957,13859826608897719907,0,0,0,0,0,0,0.000,0,0
422.979,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.000,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.021,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.043,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.064,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.085,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.107,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.128,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.149,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.171,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.192,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.213,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.234,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.255,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.277,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.298,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.319,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.340,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.362,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.383,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.405,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.427,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.449,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.472,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.494,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.516,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.540,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.563,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.586,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.609,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.632,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.655,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.678,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.701,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.724,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.746,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.769,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.792,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.815,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.837,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.860,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.882,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.905,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.927,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.950,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.972,13859826608897719907,0,0,0,0,0,0,0.000,0,0
423.995,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.018,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.041,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.065,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.088,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.112,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.136,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.160,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.184,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.208,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.232,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.255,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.277,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.299,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.321,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.343,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.364,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.388,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.436,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.459,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.482,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.506,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.530,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.551,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.572,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.594,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.617,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.639,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.661,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.684,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.706,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.728,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.750,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.772,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.794,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.816,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.838,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.860,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.882,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.904,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.927,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.949,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.971,13859826608897719907,0,0,0,0,0,0,0.000,0,0
424.994,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.017,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.039,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.062,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.084,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.107,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.129,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.151,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.174,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.196,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.218,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.240,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.262,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.284,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.306,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.328,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.350,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.372,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.394,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.416,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.438,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.460,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.482,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.505,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.527,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.549,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.571,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.594,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.616,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.726,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.847,13859826608897719907,0,0,0,0,0,0,0.000,0,0
425.960,13859826608897719907,0,0,0,0,0,0,0.000,0,0
426.074,13859826608897719907,0,0,0,0,0,0,0.000,0,0
426.188,13859826608897719907,0,0,0,0,0,0,0.000,0,0
426.302,13859826608897719907,0,0,0,0,0,0,0.000,0,0
426.415,13859826608897719907,0,0,0,0,0,0,0.000,0,0
426.529,13859826608897719907,0,0,0,0,0,0,0.000,0,0
426.736,13859826608897719907,0,0,0,0,0,0,0.000,0,0
426.959,13859826608897719907,0,0,0,0,0,0,0.000,0,0
427.181,13859826608897719907,0,0,0,0,0,0,0.000,0,0
427.402,13859826608897719907,0,0,0,0,0,0,0.000,0,0
427.624,13859826608897719907,0,0,0,0,0,0,0.000,0,0
427.847,13859826608897719907,0,0,0,0,0,0,0.000,0,0
428.512,13859826608897719907,0,0,0,0,0,0,0.000,0,0
429.179,13859826608897719907,0,0,0,0,0,0,0.000,0,0
429.844,13859826608897719907,0,0,0,0,0,0,0.000,0,0
430.504,13859826608897719907,0,0,0,0,0,0,0.000,0,0
431.171,13859826608897719907,0,0,0,0,0,0,0.000,0,0
431.838,13859826608897719907,0,0,0,0,0,0,0.000,0,0
432.504,13859826608897719907,0,0,0,0,0,0,0.000,0,0
433.173,13859826608897719907,0,0,0,0,0,0,0.000,0,0
433.842,13859826608897719907,0,0,0,0,0,0,0.000,0,0
434.513,13859826608897719907,0,0,0,0,0,0,0.000,0,0
435.182,13859826608897719907,0,0,0,0,0,0,0.000,0,0
435.850,13859826608897719907,0,0,0,0,0,0,0.000,0,0
436.517,13859826608897719907,0,0,0,0,0,0,0.000,0,0
437.184,13859826608897719907,0,0,0,0,0,0,0.000,0,0
437.846,13859826608897719907,0,0,0,0,0,0,0.000,0,0
438.510,13859826608897719907,0,0,0,0,0,0,0.000,0,0
439.173,13859826608897719907,0,0,0,0,0,0,0.000,0,0
439.839,13859826608897719907,0,0,0,0,0,0,0.000,0,0
